-167.234587852 -102.64062232299999  0.29052436969300827 -0.06852164351014564 -0.08931350435438572
-165.334733852 -101.077567323  0.23117966660123757 -0.08546727381775467 -0.10578813170351326
-163.434880852 -99.51451232299999  0.17443328836546285 -0.09978813934142718 -0.12006659295215785
-161.535027852 -97.951457323  0.12227011463922094 -0.11203033810332082 -0.13233220285512415
-159.635173852 -96.388402323  0.07540048606149824 -0.12259031003041974 -0.14275580180310657
-157.735320852 -94.82534632299999  0.03375732380093378 -0.131604887034759 -0.15146264499401296
-155.835467852 -93.262291323  -0.002837375902326308 -0.13939184280749276 -0.15866145265458262
-153.93561385200002 -91.699236323  -0.03481916802043645 -0.14607809518467174 -0.16461176873623934
-152.035760852 -90.13618132299999  -0.06273519156077466 -0.1517768507136287 -0.16936728675121154
-150.135907852 -88.573126323  -0.08703471753076726 -0.15662826720217612 -0.1731853404350718
-148.236053852 -87.01007132299999  -0.10800383774344426 -0.16078337603430456 -0.17622282179824778
-146.33620085200002 -85.44701532299999  -0.1260957072305683 -0.16420816751282694 -0.17855933396403342
-144.436347852 -83.883960323  -0.14158613916649782 -0.16714315707002014 -0.18034666928343449
-142.536493852 -82.32090532299999  -0.1545768462375199 -0.16964495604646113 -0.18178348391875013
-140.636640852 -80.757850323  -0.16534506447154246 -0.1717888839248988 -0.18288654774405894
-138.73678785200002 -79.194795323  -0.17401241873519768 -0.17368678722094016 -0.18374296625784228
-136.836934852 -77.631740323  -0.18058732211606063 -0.17545758339852538 -0.18448590337372126
-134.937080852 -76.06868432299999  -0.1851247189040585 -0.17706492209959077 -0.1851950529777107
-133.037227852 -74.505629323  -0.18773259343122878 -0.17867603745400268 -0.1857363598168464
-131.13737485200002 -72.942574323  -0.18842699815254846 -0.18032494786814074 -0.18630093798385647
-129.23752085200002 -71.379519323  -0.1870985222076068 -0.18204796072743096 -0.186866359094034
-127.33766785200001 -69.81646432299999  -0.18385854616862346 -0.18384695048994926 -0.18732424273115322
-125.437814852 -68.253409323  -0.17870285272421363 -0.18578311394693123 -0.1877367627195498
-123.537960852 -66.690353323  -0.17150610125119217 -0.18772763741772794 -0.18808321328224856
-121.63810785199999 -65.12729832299999  -0.1623572597215299 -0.18976244750154034 -0.18813247226570168
-119.73825485200001 -63.56424332299999  -0.1512184036810659 -0.19183609788103154 -0.18798052387610234
-117.838400852 -62.001188322999994  -0.1379201092559684 -0.19390602997164716 -0.18751346734902985
-115.938547852 -60.438133322999995  -0.12248967930402772 -0.195894607561252 -0.18653985478125645
-114.03869485199999 -58.875078323  -0.10480451962030513 -0.19778727950439798 -0.185047836100037
-112.13884185200001 -57.312022322999994  -0.0846173461377394 -0.1993586926698531 -0.18292327929579735
-110.23898785200001 -55.748967322999995  -0.06170005613656719 -0.20059871284412353 -0.18001115494070793
