-77.94148185200001 -29.177029323  0.2442877376567257 -0.10545293905443294 0.02628222792352626
-76.041628852 -27.613974322999994  0.22681581089333017 -0.11256359231665242 0.050592171078876584
-74.141774852 -26.050919322999988  0.20664820970813308 -0.12030376711427616 0.07505519994268996
-72.24192185199999 -24.487864322999997  0.1837300942369955 -0.12852025448098375 0.09966744411429515
-70.34206885200001 -22.92480932299999  0.1582672039303259 -0.13693030277237814 0.12412048689954353
-68.442215852 -21.361754323  0.13079376298053189 -0.14504557244971822 0.14809122168163524
-66.542361852 -19.798698322999996  0.10221986205333036 -0.1520826119712232 0.17089692256773775
-64.64250885199999 -18.23564332299999  0.07319802193053089 -0.1576893416827059 0.19212234820473492
-62.74265585199999 -16.672588323  0.044410153384859485 -0.16141948408854054 0.21128651623970623
-60.842801852000015 -15.109533322999994  0.016348830840143266 -0.162929803521506 0.22800932104951968
-58.94294885200001 -13.546478322999988  -0.01069469409992927 -0.1619575038734163 0.2420556081470674
-57.043095852 -11.983423322999997  -0.03629599965151903 -0.15836905623635883 0.253063777539161
-55.143241851999996 -10.420367322999994  -0.06023220047416101 -0.15196456214362736 0.2608111625694545
-53.24338885200002 -8.857312322999988  -0.08242282509586552 -0.1428312636072862 0.2653457996090306
-51.34353585200001 -7.2942573229999965  -0.10275982590960814 -0.13100133300086952 0.2664499642487776
-49.443682852 -5.731202322999991  -0.12107335248107913 -0.11661019400045541 0.2641992723186045
-47.543828852 -4.1681473229999995  -0.13722027970494133 -0.1000244744572632 0.25864545359981045
-45.64397585200002 -2.605092322999994  -0.15114335598125267 -0.08148048801156255 0.24988284629317442
-43.74412285200001 -1.0420363229999907  -0.1625815727786759 -0.060974690083385456 0.23808897705647286
-105.560599852 -109.838903323  -0.03882334135281103 0.2235059596593462
-103.66074585199999 -108.275847323  -0.17736012798116732 -0.015059495164829975 0.20629471792446102
-101.76089285200001 -106.71279232299999  -0.18041586877530896 0.009975221144433843 0.18687930046502013
-99.861039852 -105.149737323  -0.18030055081107632 0.03607271455042274 0.1654610001953095
-97.961185852 -103.58668232299999  -0.17689709204808537 0.06295090890264397 0.1423025109684293
-96.06133285199999 -102.023627323  -0.17021589171591556 0.09032915707333274 0.11785101302757815
-94.16147985200001 -100.460572323  -0.1602739744594801 0.11778052185829835 0.09236884345393086
-92.26162585200001 -98.89751632299999  -0.14715038756979146 0.1447890184490038 0.06640024706497503
-90.361772852 -97.334461323  -0.13134258691142806 0.17086849154562442 0.040547508191554095
-88.461919852 -95.771406323  -0.11321485406437504 0.19579684640244036 0.014945919859031783
