-148.48241480599998 -58.102003627  -0.006526198286202609 0.11622320393966444 0.24783347970445427
-147.17929080599998 -56.015271627000004  0.04260744681295752 0.04677059839426273 0.2653404352635082
-145.876166806 -53.928539627000006  0.08934100969337141 -0.021282587443289726 0.2806746968836804
-144.573041806 -51.841807627  0.12964504294858692 -0.08324545496766865 0.2933407457195715
-143.269917806 -49.755075627000004  0.1602792902919443 -0.135706427072073 0.30341152727359444
-141.966793806 -47.668343627000006  0.17907289950848018 -0.176494234536386 0.31098164754746754
-140.663668806 -45.581611627  0.18497630562365439 -0.20422007361838246 0.3160989504815496
-139.360544806 -43.494878627000006  0.1777406623414381 -0.21795578005281824 0.3187970170039925
-138.05742080599998 -41.40814662700001  0.15841447246436602 -0.2169153636746049 0.3187646038121873
-136.754295806 -39.32141462700001  0.12872874922280012 -0.20014856529958688 0.31536994119152234
-135.451171806 -37.234682627  0.09072073466503958 -0.16711203624375082 0.30804027130324774
-134.148046806 -35.147950627  0.04652304102145305 -0.1184117692151732 0.2964134002292778
-132.844922806 -33.061218627  -0.0024659783821805734 -0.05606716056693343 0.28093576983814683
-131.541798806 -30.974486627000005  -0.0535115552134433 0.015326472230552026 0.2626046023622707
-130.23867380599998 -28.887754627000007  -0.10175090510846205 0.08908283155538893 0.24291217967927414
-128.93554980599998 -26.801021626999997  -0.1437235761101459 0.15887581669308481 0.22380421033628395
-127.63242580599999 -24.714289627  -0.17759794374330365 0.21917433508102724 0.20702366687671864
-126.32930080599999 -22.627557627  -0.202023302208795 0.2661423883059259 0.1938893693155191
-125.026176806 -20.540825627000004  -0.2162432034314243 0.29871154109918024 0.1852938583293859
-123.723052806 -18.454093627000006  -0.21988145313176236 0.3161638608379849 0.18156850274707345
-122.419927806 -16.367361627000008  -0.21286509486810223 0.31774004377647375 0.1829337958296762
-121.11680380600001 -14.28062962700001  -0.1956752609449998 0.3028431512578188 0.18947094131166686
-119.81367980600001 -12.193897626999998  -0.16886698440561088 0.2711648670784537 0.20072763460546258
-118.51055480599999 -10.107164627000003  -0.13366317174838133 0.22323864556979942 0.21602708931913775
-117.20743080599999 -8.020432627000005  -0.09195262120059738 0.16166922002431036 0.23430418196988043
-115.904305806 -5.933700627000007  -0.045080691787403954 0.09191344041694216 0.2532927971250634
-114.601181806 -3.8469686270000096  0.00503522864884039 0.01959860409187014 0.2711226740761157
-113.298057806 -1.7602366269999976  0.05526521086668278 -0.04917733586007146 0.28635848286071275
-173.536824806 -106.26718862700001  -0.10920789716039392 0.2983793611183905
-172.233700806 -104.180455627  0.1389572875546855 -0.1574882072515394 0.3070992387138299
-170.930576806 -102.093723627  0.16594847126919818 -0.1924272023822994 0.31278493450163436
-169.62745180599998 -100.006991627  0.18037934735867928 -0.21330539235782647 0.3157153156313233
-168.32432780599999 -97.92025962700001  0.1815471351925396 -0.21984174172706858 0.31614530920531175
-167.021203806 -95.83352762700001  0.17023378739970038 -0.21171048653328928 0.313898848245011
-165.718078806 -93.74679562700001  0.14808022276183655 -0.1883497704691434 0.3085603563026216
-164.414954806 -91.660063627  0.1170367332428095 -0.14965682637063588 0.2996109648137265
-163.111829806 -89.573330627  0.07905223742534699 -0.09658046453266017 0.286623835182983
-161.808705806 -87.486598627  0.03492249445776106 -0.03174640393305691 0.27006295616874054
-160.50558180599998 -85.39986662700001  -0.013881971800440731 0.040130315243071826 0.2507968455429774
-159.202456806 -83.31313462700001  -0.0631089757915427 0.1123970975375358 0.23048335464998987
-157.899332806 -81.226402627  -0.10895487894885585 0.17895107614289157 0.21102028033436065
-156.596208806 -79.139670627  -0.148908273419598 0.23467636457434982 0.19406371424488236
-155.293083806 -77.052938627  -0.1810443189109583 0.277071836989462 0.18097524674926943
-153.989959806 -74.966206627  -0.20400025889614887 0.3053357271177146 0.1726161427993545
-152.686835806 -72.87947462700001  -0.21685155473982134 0.31852733857790594 0.16926531328278488
-151.38371080599998 -70.792741627  -0.21925105667200098 0.31562550394631944 0.17111034040064743
-150.08058680599999 -68.70600962700001  -0.2112079721965246 0.29567390312009084 0.1782045316133049
-148.777461806 -66.619277627  -0.1927127797931411 0.25841867342507957 0.19005148157900578
-147.474337806 -64.532545627  -0.1645074224104976 0.2047333764887766 0.20604122901929445
-146.171213806 -62.44581362700001  -0.12777032690909257 0.137980752445504 0.22487122356242503
-144.868088806 -60.359081627  -0.08335109868932068 0.06423428279987015 0.24431893930766235
-143.564964806 -58.272349627000004  -0.03293377248214096 -0.010326857224498286 0.2624423369989174
-142.26184080599998 -56.185617627000006  0.020319540341525104 -0.07900250861083707 0.27769251014440693
-140.958715806 -54.098884627000004  0.0716328821407795 -0.13643965459880805 0.28915512042854197
-139.655591806 -52.012152627000006  0.11666226781912996 -0.18009883129049806 0.29689167450763715
-138.352467806 -49.925420627  0.15208107373748334 -0.20889315041925602 0.3010598769019844
-137.049342806 -47.838688627  0.17538913984710072 -0.22277780912650869 0.302107038074306
-135.746218806 -45.751956627000006  0.1852732175385662 -0.22204526533673852 0.3004868177480392
-134.443093806 -43.66522462700001  0.1821983478062526 -0.20686268745896322 0.2962040828243645
-133.13996980599998 -41.578492627  0.16756382517236112 -0.17704766575559325 0.28906334093236147
-131.83684580599999 -39.491760627000005  0.14341847807325908 -0.13301640552664956 0.27867455334097474
-130.533720806 -37.40502862700001  0.11161474547769402 -0.07620611550289719 0.2646458454738689
