-23.923502422000013 -5.911170960000007  -0.1827715945911065 0.047736000942994364 0.48927513693204455
-21.845402422000006 -4.594325960000006  -0.1775677905551381 0.07031568087497007 0.46100220185757557
-19.767301422000003 -3.2774809600000054  -0.16714876444267956 0.09689438046178997 0.43101249023258087
-17.689200422 -1.9606359600000047  -0.15094685577482905 0.1274685392096053 0.39981726880158286
-15.611099422000024 -0.643790960000004  -0.12842087430130314 0.1622407321038186 0.3677554803291393
-73.24038542200002 -102.74317296000001  0.20085836547987293 0.33511332077250305
-71.16228442200001 -101.42632796000001  -0.06514976571628281 0.24286079922386847 0.3020956019815272
-69.08418342200001 -100.10948296000001  -0.026974618404566518 0.28677705149018035 0.26882111410891546
-67.006082422 -98.79263796000001  0.01192243323127994 0.3304929445792315 0.23505643964650105
-64.92798142200002 -97.47579296  0.04756329283854253 0.36997163740374295 0.2003746338432045
-62.84988042200001 -96.15894796  0.07565303104961467 0.4005045363369144 0.16392127028071754
-60.77177942200001 -94.84210296  0.09516621997109813 0.4196681839138166 0.1223655514415554
-58.693678422000005 -93.52525796  0.10937095353271979 0.4259137460830052 0.07209935220164992
-56.615577422000015 -92.20841296  0.12382377942248421 0.4185395323722456 0.011387060483089672
-54.53747642200001 -90.89156796  0.14216378453270553 0.39825286790187614 -0.05766238472665736
-52.459376422000005 -89.57472296  0.16223118400749986 -0.12840484315276945 0.36776693200015853
-169.796048422 -88.25787796  0.1775263656195147 0.33036900766592453
-167.717947422 -86.94103296  0.18138294678741743 0.28933215049659244 -0.24299689331109833
-165.639846422 -85.62418796  0.17097051142262043 0.24671534898726918 -0.2781624407375383
-163.561745422 -84.30734296  0.1480861797746704 0.20400364593264375 -0.29961632632009844
-161.483644422 -82.99049796  0.11660929632886477 0.16183934831243166 -0.31071150019838584
-159.405543422 -81.67365296  0.08055287314930981 0.12097023009901658 -0.3147066217651343
-157.32744242200002 -80.35680796  0.04278926450465734 0.08176908353810802 -0.3140972321609229
-155.24934142200001 -79.03996296  0.0052956710136759025 0.04469328965616558 -0.31059872527583554
-153.171241422 -77.72311796  -0.030790926022201362 0.010090019669272947 -0.3053156079586234
-151.093140422 -76.40627296  -0.06480815550765719 -0.021796679393590174 -0.2991074192894832
-149.01503942200003 -75.08942796  -0.0963828756691555 -0.05081223648923082 -0.2923892285711236
-146.93693842200003 -73.77258296000001  -0.12530559417424494 -0.07690576771619645 -0.2855559559215028
-144.85883742200002 -72.45573796000001  -0.15144764692186877 -0.10011989880103472 -0.27886178482337204
-142.78073642200002 -71.13889295999999  -0.17472082646278753 -0.12058659967535995 -0.27247997818779746
-140.70263542200001 -69.82204796  -0.1950584842732769 -0.13850852823666385 -0.2665183957708009
-138.624534422 -68.50520296  -0.21240751160138266 -0.15414986003577028 -0.2610301981568405
-136.546433422 -67.18835796  -0.2267001691830416 -0.16780134622777262 -0.25602346163836515
-134.468333422 -65.87151296  -0.2380364076955884 -0.17977906229380122 -0.2514271113662029
-132.390232422 -64.55466796  -0.24632113409037096 -0.19039692227217814 -0.24727592521528785
-130.312131422 -63.23782296  -0.25160750046684743 -0.19994444555032148 -0.2433777811187787
-128.23403042200002 -61.92097796  -0.2539139147326275 -0.2086761559062976 -0.23966213887761187
-126.15592942200001 -60.60413296  -0.2532546802510766 -0.21679801161090373 -0.23601507023531618
-124.07782842200001 -59.28728796  -0.24963563641420194 -0.22445945650173627 -0.2323182780295281
-121.999727422 -57.97044296  -0.2430478477141808 -0.23173952596061717 -0.2284525723160368
-119.921626422 -56.653597960000006  -0.2334711533061532 -0.23866549930073055 -0.22429502889538366
-117.84352642200001 -55.336752960000005  -0.22087687236137815 -0.24523060820694664 -0.21969197794694958
-115.765425422 -54.019907960000005  -0.20520300211886067 -0.25140624941232925 -0.21459647062603632
-113.687324422 -52.703062960000004  -0.18635649367731136 -0.2571070897740588 -0.20889352134149683
-111.60922342200001 -51.38621796  -0.1642000969089029 -0.26219903764737085 -0.2024033973231795
-109.53112242200001 -50.06937296  -0.13853637771385077 -0.26649184984021507 -0.19505714072684877
-107.453021422 -48.75252796  -0.10909033023416796 -0.26973315253848595 -0.18676375818402896
-105.37492042200002 -47.43568296  -0.07551232764552834 -0.2716174653017111 -0.17744367397450936
-103.29681942200001 -46.11883796  -0.037397584265930164 -0.2717921589757903 -0.16703410642248176
-101.21871842200001 -44.80199296  0.005685428143583572 -0.26986586808706325 -0.15549733702187812
-99.140618422 -43.485147960000006  0.05414204998948447 -0.2654056039406144 -0.14279751487032102
-97.06251742200001 -42.168302960000005  0.10825103777268444 -0.2579547873323979 -0.1290532856512335
-94.98441642200001 -40.851457960000005  0.1679972451781709 -0.24700327345740564 -0.11440643108222098
-92.906315422 -39.534612960000004  0.23280649707707374 -0.23198583914958323 -0.09907209001613465
-90.82821442200002 -38.21776796  0.3011839434311281 -0.212293447279154 -0.08357407932744189
-88.75011342200001 -36.90092296  0.3702928970347551 -0.18738034087355934 -0.06865296255375447
-86.67201242200001 -35.58407796  0.43564837580707283 -0.15707166787846807 -0.05525371098064221
-84.593911422 -34.26723296  0.4912781656863377 -0.12217925785825756 -0.04427015720860193
