-122.71497480599999 -24.88463562700001  -0.1572281689029798 0.288262734371448 0.16002804495366688
-121.41185080599999 -22.79790362700001  -0.18879772306106818 0.313196412313777 0.15138615662462254
-120.10872680599999 -20.711171627  -0.21118270025852237 0.3224221128587079 0.14773791189076085
-118.805601806 -18.624438627000004  -0.22359631177910666 0.31444472185634353 0.1492349349790484
-117.502477806 -16.537706627000006  -0.22555431261912176 0.2881611829677222 0.15588146280318627
-116.19935280600001 -14.450974627000008  -0.21648761368436117 0.24370146037016027 0.16719080667682978
-114.89622880600001 -12.36424262700001  -0.19650923166802872 0.1828492378183828 0.18265737789855724
-113.59310480599999 -10.277510626999998  -0.16611452523970488 0.10993657811937574 0.201188239866833
-112.28997980599999 -8.190778627  -0.12548198688695905 0.031885659920677115 0.22056698460633067
-110.986855806 -6.1040466270000024  -0.07573460824537866 -0.044527497048117995 0.23893473235779558
-109.683731806 -4.017314627000005  -0.019707160892664156 -0.1123646060705194 0.2546287557692481
-108.380606806 -1.9305816270000093  0.03763308594195065 -0.16645596364370305 0.2664620832562388
-168.619374806 -106.43753362700001  -0.20481514271344764 0.27424014300063454
-167.316250806 -104.35080162700001  0.13705813886009652 -0.22700840166043915 0.2779914479114167
-166.013125806 -102.264069627  0.17128948871235825 -0.23351413309270305 0.27814632056903765
-164.710001806 -100.177337627  0.19161938719484198 -0.22522697406973616 0.275212414862608
-163.40687680599999 -98.090604627  0.19780347702198614 -0.2027861521017617 0.2693640489382235
-162.103752806 -96.003872627  0.19099600165484523 -0.16668034815621968 0.2607700331973193
-160.800628806 -93.91714062700001  0.17333309049886653 -0.1177228906282789 0.2491363279322774
-159.497503806 -91.830408627  0.14687776374491138 -0.057658000336172945 0.23432884051428382
-158.194379806 -89.743676627  0.11230654036594868 0.010341070869059915 0.2166061176211154
-156.891255806 -87.656944627  0.06934727435260102 0.08152222081423759 0.1966564662889934
-155.58813080599998 -85.570212627  0.019796154675515196 0.14967829548479739 0.17585511022346023
-154.28500680599998 -83.483480627  -0.03203436452189647 0.2089658919095693 0.15597920710061786
-152.981882806 -81.39674862700001  -0.08267490199438436 0.2566847394417246 0.13862195317439277
-151.678757806 -79.31001562700001  -0.12910039331938125 0.29172774960207354 0.12493892688752434
-150.375633806 -77.223283627  -0.16903440171591155 0.3123785041324285 0.11582464210475017
-149.072508806 -75.136551627  -0.20057429912520439 0.3167135603928967 0.11161564700072661
-147.769384806 -73.049819627  -0.22253225300993873 0.3030694138936954 0.11253854612465242
-146.46626080599998 -70.96308762700001  -0.23386004944892327 0.27056633497828547 0.1184151151378792
-145.16313580599999 -68.87635562700001  -0.23362283916739984 0.21999108230836753 0.12893863192283364
-143.860011806 -66.789623627  -0.22146590841844227 0.1538730847806816 0.14366290879690008
-142.556887806 -64.70289162700001  -0.1973748162232684 0.07715231417170171 0.1615624545357904
-141.253762806 -62.616158627000004  -0.16110496918593134 -0.002752926629659609 0.18041976009881627
-139.950638806 -60.52942662700001  -0.11329521974060694 -0.07883027942767402 0.19846372913235316
